input tokens,output tokens
193,78
193,79
193,89
193,97
163,93
1258,1041
163,69
163,93
1242,935
163,75
1263,914
1229,777
866,739
873,928
884,848
875,744
856,847
1246,927
1255,683
1239,731
1221,184
1245,959
1223,793
1241,531
1283,977
1277,983
1238,891
1214,569
1312,990
1303,1095
1274,1337
158,132
265,318
155,202
156,118
249,310
153,167
176,144
295,328
173,180
176,206
357,224
173,149
176,124
275,246
173,156
1132,1133
176,115
267,360
173,172
176,273
424,275
173,171
176,124
275,259
173,125
1133,914
194,4
190,4
177,12
156,107
239,403
153,207
177,12
156,97
229,362
153,165
177,12
156,110
242,443
153,132
1104,1052
183,8
179,12
158,88
222,369
155,152
179,8
158,102
236,345
155,196
179,8
158,82
216,270
155,175
733,772
179,12
158,132
266,425
155,248
179,8
158,88
222,370
155,159
734,765
188,8
167,151
293,205
164,149
188,12
167,84
227,276
164,147
188,8
167,115
257,351
164,108
731,857
174,8
153,113
241,330
150,139
174,8
153,115
244,312
150,163
174,8
153,132
261,308
150,184
718,346
157,8
136,112
224,286
133,217
705,689
199,8
178,94
248,310
175,175
199,12
178,113
266,319
175,149
199,12
178,142
295,280
175,142
194,12
173,189
337,218
170,163
194,12
173,136
284,255
170,154
194,8
173,126
275,375
170,158
744,650
193,8
172,110
258,413
169,122
193,8
172,122
269,226
169,106
193,8
172,245
392,264
169,138
742,759
169,8
148,120
244,434
145,154
169,8
148,156
279,240
145,160
169,8
148,113
236,283
145,145
715,1229
178,12
157,157
289,242
154,165
178,8
157,99
231,273
154,168
178,8
157,75
207,334
154,162
731,680
193,8
172,141
288,259
169,129
193,8
172,171
318,247
169,124
193,8
172,159
306,288
169,154
739,1058
174,8
153,105
234,292
150,168
174,8
153,188
316,195
150,154
174,12
153,117
246,406
150,236
1108,924
